OMP_PLACES,OMP_PROC_BIND,nanoseconds,cycles,L1-dcache-loads-misses,LLC-load-misses,node-loads,node-stores,node-loads-misses,node-stores-misses
cores,master,2375480884,17791595410,32957838,144883,140254,168308,13,35
cores,close,140112453,18079313432,31831629,96027,72875,143711,13945,2406
cores,spread,140765656,17877935437,32225888,92514,72429,109112,14605,2457
threads,master,4394408969,16635504284,32617545,167742,168442,205736,187,69
threads,close,67930591,5583810323,37650671,113527,89839,101336,4226,1624
threads,spread,68640846,6447327414,30847344,72415,59496,106982,14477,3087
x,x,454084748,1524809270,32960469,162520,157690,316703,205,0
sockets,master,144241581,11794294834,31875100,131450,126570,278994,108,312
sockets,close,158159404,17554076615,32432686,83560,84811,209260,5792,1131
sockets,spread,163152013,17500145208,31910497,97520,89917,129255,4134,994
cores,master,2632974058,19483030412,33079343,159643,157727,157126,13,101
cores,close,140346653,17904816880,32258387,92770,72769,123465,15623,2195
cores,spread,141354763,18267440088,32506072,94294,73844,113743,15483,2423
threads,master,4270117429,16103732450,32581319,168637,168104,201783,77,79
threads,close,67106748,5818189377,24309501,80751,70471,150535,8909,1925
threads,spread,92523914,6464260556,30951862,97338,91619,133251,9129,1656
