OMP_PLACES,OMP_PROC_BIND,nanoseconds,cycles,L1-dcache-loads-misses,LLC-load-misses,node-loads,node-stores,node-loads-misses,node-stores-misses
cores,master,3095226874,22892532303,143095829,731064,727359,228103,310,72
cores,close,205665817,24262646843,139772229,1559070,1504446,1070820,73941,4864
cores,spread,201543881,24861620853,144868914,1539591,1445023,1294525,77625,4691
threads,master,5422017142,20102237417,139293536,303217,301418,198291,65,45
threads,close,150984003,14773725514,158262595,1513190,1253505,921117,78428,5049
threads,spread,165264812,14873725905,138903419,1739261,1719838,889665,57314,3443
x,x,1438334961,4782150980,126318224,1006861,1248371,531798,3,0
sockets,master,319207919,24630953731,145913352,1607775,1546948,885549,1488,486
sockets,close,217317864,24958067674,147015870,1561370,1497880,1104120,15344,1689
sockets,spread,204717447,24568950801,135292416,1523691,1570017,926002,13347,1721
cores,master,3273570891,23722135571,140913709,688133,681804,217209,21,79
cores,close,205811754,24138044779,137056772,1563773,1550401,1173651,79355,4286
cores,spread,203861055,24789344087,147518157,1634370,1495985,1070395,73387,4750
threads,master,5336320197,19682467328,139826800,297845,289279,195610,91,36
threads,close,182470034,18040356716,144606101,1595723,1457719,1266389,80257,4881
threads,spread,149687256,13218051796,165319912,1659207,1373010,803987,66158,4476
x,x,1423774809,4857539523,142775150,1080817,970579,627509,3,0
sockets,master,277731084,23054063453,145342080,1828282,1775527,1077429,1135,499
sockets,close,217823328,24469844319,137105065,1531227,1580425,995745,15490,1554
sockets,spread,216937636,23799020056,137910973,1638455,1674426,948834,14142,1680
